lemma_id,params,atoms,weights,kind
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""6"", ""t"": ""3/2""}","{""event"": [0.280701754, 0.421052632, 0.631578947, 0.947368421, 1.421052632], ""support"": [0.719298246, -0.421052632, 0.368421053, -0.947368421, 4.578947367]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""6"", ""t"": ""2""}","{""event"": [0.147058824, 0.294117647, 0.588235294, 1.176470588, 2.352941177], ""support"": [0.852941176, -0.294117647, 0.411764706, -1.176470588, 3.647058823]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""0"", ""kappa"": ""6"", ""t"": ""3""}","{""event"": [0.043859649, 0.131578947, 0.394736842, 1.184210526, 3.552631579], ""support"": [0.956140351, -0.131578947, 0.605263158, -1.184210526, 2.447368421]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""2"", ""t"": ""1""}","{""event"": [0.447024472, 0.481546956, 0.580655093, 0.865177577, 1.681992887], ""support"": [0.552975528, -0.481546956, 0.419344907, -0.365177577, 0.318007113]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""2"", ""t"": ""3/2""}","{""event"": [0.279069767, 0.418604651, 0.627906977, 0.941860465, 1.412790698], ""support"": [0.720930233, -0.418604651, 0.372093023, -0.441860465, 0.587209302]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""2"", ""t"": ""2""}","{""event"": [0.096774194, 0.193548387, 0.387096774, 0.774193548, 1.548387097], ""support"": [0.903225806, -0.193548387, 0.612903226, -0.274193548, 0.451612903]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""2"", ""t"": ""3""}","{""event"": [0.015075377, 0.045226131, 0.135678392, 0.407035176, 1.221105528], ""support"": [0.984924623, -0.045226131, 0.864321608, 0.092964824, 0.778894472]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""3"", ""t"": ""1""}","{""event"": [0.470368836, 0.484864592, 0.556118129, 0.906363177, 2.627984286], ""support"": [0.529631164, -0.484864592, 0.443881871, -0.406363177, 0.372015714]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""3"", ""t"": ""3/2""}","{""event"": [0.294736842, 0.442105263, 0.663157895, 0.994736842, 1.492105263], ""support"": [0.705263158, -0.442105263, 0.336842105, -0.494736842, 1.507894737]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""3"", ""t"": ""2""}","{""event"": [0.137254902, 0.274509804, 0.549019608, 1.098039216, 2.196078431], ""support"": [0.862745098, -0.274509804, 0.450980392, -0.598039216, 0.803921569]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""3"", ""t"": ""3""}","{""event"": [0.029288703, 0.087866109, 0.263598326, 0.790794979, 2.372384937], ""support"": [0.970711297, -0.087866109, 0.736401674, -0.290794979, 0.627615063]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""6"", ""t"": ""1""}","{""event"": [0.487531842, 0.491040657, 0.52949091, 0.950835995, 5.568014502], ""support"": [0.512468158, -0.491040657, 0.47050909, -0.450835995, 0.431985495]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""6"", ""t"": ""3/2""}","{""event"": [0.302788845, 0.454183267, 0.6812749, 1.021912351, 1.532868532], ""support"": [0.697211155, -0.454183267, 0.3187251, -0.521912351, 4.467131464]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""6"", ""t"": ""2""}","{""event"": [0.171171171, 0.342342342, 0.684684685, 1.369369369, 2.738738739], ""support"": [0.828828829, -0.342342342, 0.315315315, -0.869369369, 3.261261261]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1/2"", ""kappa"": ""6"", ""t"": ""3""}","{""event"": [0.052924791, 0.158774373, 0.47632312, 1.428969359, 4.286908078], ""support"": [0.947075209, -0.158774373, 0.52367688, -0.928969359, 1.713091922]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""2"", ""t"": ""1""}","{""event"": [0.276393202, 0.447213595, 0.723606798, 1.170820393, 1.894427191], ""support"": [0.723606798, -0.447213596, 0.276393202, -0.170820393, 0.105572809]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""2"", ""t"": ""3/2""}","{""event"": [0.276393202, 0.447213596, 0.723606798, 1.170820393, 1.894427191], ""support"": [0.723606798, -0.447213596, 0.276393202, -0.170820393, 0.105572809]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""2"", ""t"": ""2""}","{""event"": [0.0, 0.0, 0.0, 0.0, 0.0], ""support"": [1.0, -0.0, 1.0, 1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""2"", ""t"": ""3""}","{""event"": [0.0, 0.0, 0.0, 0.0, 0.0], ""support"": [1.0, -0.0, 1.0, 1.0, 2.0]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""3"", ""t"": ""1""}","{""event"": [0.377991532, 0.455341801, 0.666666667, 1.244016936, 2.821367205], ""support"": [0.622008468, -0.455341801, 0.333333333, -0.244016936, 0.178632795]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""3"", ""t"": ""3/2""}","{""event"": [0.302278709, 0.455829645, 0.702201054, 1.194555604, 2.872894497], ""support"": [0.697721291, -0.455829645, 0.297798946, -0.194555604, 0.127105503]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""3"", ""t"": ""2""}","{""event"": [0.166666667, 0.333333333, 0.666666667, 1.333333333, 2.666666667], ""support"": [0.833333333, -0.333333333, 0.333333333, -0.333333333, 0.333333333]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""3"", ""t"": ""3""}","{""event"": [0.028571429, 0.085714286, 0.257142857, 0.771428571, 2.314285714], ""support"": [0.971428571, -0.085714286, 0.742857143, 0.228571429, 0.685714286]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""6"", ""t"": ""1""}","{""event"": [0.448925025, 0.47067422, 0.597996223, 1.343352216, 5.706742195], ""support"": [0.551074975, -0.47067422, 0.402003777, -0.343352216, 0.293257805]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""6"", ""t"": ""3/2""}","{""event"": [0.306230048, 0.459585533, 0.695549133, 1.201682398, 5.866395225], ""support"": [0.693769952, -0.459585533, 0.304450867, -0.201682398, 0.13360477]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""6"", ""t"": ""2""}","{""event"": [0.19047619, 0.380952381, 0.761904762, 1.523809524, 3.047619049], ""support"": [0.80952381, -0.380952381, 0.238095238, -0.523809524, 2.95238095]}",,split-moments
skew_kurtosis_tail,"{""gamma"": ""1"", ""kappa"": ""6"", ""t"": ""3""}","{""event"": [0.061538462, 0.184615385, 0.553846154, 1.661538462, 4.984615385], ""support"": [0.938461538, -0.184615385, 0.446153846, -0.661538462, 1.015384615]}",,split-moments
